brand,ram,rom,Expandable Upto,Processor,Front camera,Rear Camera,Screen Size,battery,Colour,Display,lithium ion battery,avg_rating,original_price
vivo,8,128,1024, MediaTek Dimensity | 700 ,32,64,16.36,4000,Sunset Jazz, Full HD ,0,4.3,27990
OPPO,8,128,256, Qualcomm Snapdragon | 720G  ,32,48,16.51,4000,Galactic Blue, Full HD ,1,4.4,37990
OPPO,4,64,256, Qualcomm Snapdragon | 450 ,8,13,15.75,4230,Diamond Red, HD ,1,4.4,15990
OPPO,8,256,256, MediaTek Helio | P95 ,44,64,16.26,4025,Midnight Black, HD ,0,4.4,35990
OPPO,4,64,256, MediaTek Helio | P60 Octacore 2.0 GHz ,16,16,16,3500,Mist Black, Full HD ,0,4.5,21990
GIONEE,2,16,256, MT6739WW 64-bit ,5,13,13.84,3000,Champagne, HD ,1,4.1,6990
Infinix,2,16,1024, MTK6739 64 bit Quad Core ,8,13,13.84,3050,Sandstone Black, HD ,1,4.1,6999
vivo,3,32,256, Qualcomm Snapdragon | 665 AIE ,8,13,16.13,5000,Thunder Black, HD ,1,4.4,10990
vivo,4,128,1024, MediaTek Helio | P35 ,8,13,16.54,5000,Diamond Glow, HD ,1,4.3,19490
realme,2,16,256, MediaTek P22  2.0 GHz ,5,13,15.49,4000,Diamond Black, HD ,0,4.4,6999
Mi,1,8,1024, Qualcomm Snapdragon | 425 ,5,8,12.7,3000,Black, HD ,1,4.3,5999
realme,8,128,256, MediaTek Dimensity | 800U ,16,48,16.51,5000,Sword Black, Full HD ,0,4.3,21999
vivo,3,32,256, Snapdragon 439 ,8,13,16.54,5000,Phantom Black, HD ,1,4.3,13990
SAMSUNG,4,64,256, 1.6 GHz Exynos  ,8,13,14.22,3000,Blue, HD ,0,4.4,17600
Infinix,3,32,1024, MediaTek Helio | P23  ,16,12,15.21,4500,Berlin Gray, Full HD ,1,4.2,10999
Mi,3,32,512, Qualcomm Snapdragon | 439 ,8,12,15.8,5000,Ocean Blue, HD ,0,4.4,8999
SAMSUNG,2,16,1024, Spreadtrum Quad Core 1.5GHz ,5,8,12.7,2600,Gold, HD ,0,4.2,8800
OPPO,4,64,256, Qualcomm Snapdragon | 450 ,8,13,15.75,4230,Diamond Blue, HD ,1,4.4,15990
vivo,4,64,256, Qualcomm Snapdragon | 626 ,24,16,16,3260,Sapphire Blue, Full HD ,1,4.5,23990
vivo,4,64,256, Qualcomm Snapdragon | 626 ,24,16,16,3260,Pearl Black, Full HD ,1,4.5,23990
Infinix,3,32,1024, MTK6739 64 bit Quad Core ,8,13,13.84,3050,Sandstone Black, HD ,1,4.1,7999
SAMSUNG,4,64,512, Exynos 9610 ,25,25,16.26,4000,Black, Full HD ,1,4.3,21000
SAMSUNG,3,32,256, Exynos 7870 ,8,13,14.22,3000,Blue, HD ,0,4.4,11500
SAMSUNG,8,128,1024, Qualcomm Snapdragon | 778G ,32,64,16.51,4500,Awesome Black, Full HD ,1,4.3,40999
Infinix,4,64,1024, MediaTek Helio | P23  ,16,12,15.21,4500,Ice Blue, Full HD ,1,4.2,12999
vivo,3,64,256, Qualcomm Snapdragon | 665 AIE ,8,13,16.13,5000,Electric Blue, HD ,1,4.4,11990
OPPO,4,64,256, MediaTek Helio | P35 ,8,13,15.75,4230,Black, HD ,0,4.4,15990
OPPO,2,32,256, MediaTek Helio | P35 ,8,13,15.75,4230,Blue, HD ,0,4.3,12990
OPPO,3,32,256, MTK MT6765 ,8,13,15.75,4230,Blue, HD ,0,4.4,13990
OPPO,2,32,256, MediaTek Helio | P35 ,8,13,15.75,4230,Black, HD ,0,4.3,12990
OPPO,2,32,256, MediaTek Helio | P35 ,8,13,15.75,4230,Red, HD ,0,4.3,12990
OPPO,4,64,256, MediaTek Helio | P60 Octacore 2.0 GHz ,16,16,16,3500,Stellar Purple, Full HD ,0,4.5,21990
Infinix,4,64,1024, MediaTek Helio | P23 Octa-core ,16,16,15.06,4000,Bordeaux Red, Full HD ,1,3.9,16999
SAMSUNG,4,64,512, Exynos 9610 ,25,25,16.26,4000,Blue, Full HD ,1,4.3,21000
OPPO,6,128,256, MediaTek Helio | G35 ,16,50,16.54,5000,Rainbow Blue, HD ,1,4.2,20990
OPPO,2,16,1024, Snapdragon MSM 8916 ,5,8,12.7,2630,Black, HD ,0,4.2,10990
OPPO,8,256,256, Qualcomm Snapdragon | 730G ,16,48,16.51,4000,Ocean Blue, Full HD ,0,4.4,39990
SAMSUNG,8,128,1024, Exynos  ,32,64,16.51,5000,Light Blue, Full HD ,1,4.4,40999
