brand,ram,rom,Expandable Upto,Processor,Front camera,Rear Camera,Screen Size,battery,Colour,Display,lithium ion battery,avg_rating,original_price
REDMI,6,128,512, MediaTek Helio | G95 ,13,64,16.33,5000,Deep Sea Blue, Full HD ,1,4.3,18999
realme,6,128,1024, MediaTek Dimensity | 810 5G ,16,64,16.51,5000,Universe Purple, Full HD ,0,4.4,20999
REDMI,6,128,512, MediaTek Helio | G95 ,13,64,16.33,5000,Frost White, Full HD ,1,4.3,18999
realme,8,128,256, Qualcomm Snapdragon | 695 ,16,64,16.76,5000,Midnight Black, Full HD ,1,4.4,23999
REDMI,6,64,512, MediaTek Helio | G95 ,13,64,16.33,5000,Cosmic Purple, Full HD ,1,4.3,16999
SAMSUNG,4,64,1024, MediaTek Helio | G80 ,13,48,16.26,6000,Denim Blue, HD ,1,4.3,14999
realme,4,128,256, MediaTek Helio | G85 ,8,50,16.51,6000,Oxygen Green, HD ,0,4.4,13999
realme,4,64,256, MediaTek Helio | G85 ,8,50,16.51,6000,Oxygen Green, HD ,0,4.4,12999
POCO,4,64,1024, MediaTek Dimensity | 810 ,16,50,16.76,5000,Power Black, Full HD ,1,4.4,16999
Infinix,6,128,512, MediaTek Helio | G88 ,16,50,17.02,5000,Celestial Snow, Full HD AMOLED ,1,4.2,16999
POCO,4,64,1024, MediaTek Dimensity | 810 ,16,50,16.76,5000,Cool Blue, Full HD ,1,4.4,16999
Mi,2,32,512, MediaTek Helio | G25 ,5,13,16.59,5000,Carbon Black, HD ,0,4.3,8499
Mi,3,32,512, MediaTek Helio | G25 ,5,13,16.59,5000,Metallic Blue, HD ,0,4.3,9499
Mi,2,32,512, MediaTek Helio | G25 ,5,13,16.59,5000,Metallic Blue, HD ,0,4.3,8499
realme,6,128,1024, MediaTek Dimensity | 810 5G ,16,64,16.51,5000,Universe Blue, Full HD ,0,4.4,20999
SAMSUNG,6,128,1024, MediaTek Helio | G80 ,13,48,16.26,6000,Denim Black, HD ,1,4.3,16999
Infinix,6,64,512, MediaTek Helio | G96 ,16,50,17.65,5000,Mithril Grey, Full HD ,1,4.3,16999
Infinix,6,128,512, MediaTek Helio | G88 ,16,50,17.02,5000,Glacier Green, Full HD AMOLED ,1,4.2,16999
realme,4,128,256, MediaTek Helio | G85 ,8,50,16.51,6000,Oxygen Blue, HD ,0,4.4,13999
OPPO,8,128,1024, MediaTek Dimensity | 700 ,8,13,16.56,5000,Crystal Blue, HD ,0,4.3,18990
realme,2,32,256, SC9863A ,5,8,16.51,5000,Mint Green,HD,0,4.5,7999
